"authors.keyword: Descending",Count
"Anthony C. Willis",550
"B. Johnson",550
"Fei Ma",550
"Hideaki Yamada",550
"Huan Yang",550
"Jin Sun",550
"Kazuo Yamada",550
"M. Morii",550
"R. Nakamura",550
"W. Guo",550
"Yair Lotan",550
"Yoshimi Takai",550
"Yuan Zhao",550
"A. Popov",549
"B. Lu",549
"Frederick W. B. Einstein",549
"G. Viertel",549
"H. K. Hall",549
"HK. MUELLER-BUSCHBAUM",549
"J. Mitchell",549
"J. Ulbricht",549
"James Trotter",549
"L. Duflot",549
"P. Extermann",549
"Saralees Nadarajah",549
"Tao Zeng",549
"Victor Wray",549
"A.J. Heeger",548
"C. Gössling",548
"C. H. Lee",548
"Dean T. Mason",548
"Edward R. T. Tiekink",548
"Eliezer Masliah",548
"G. Susinno",548
"Hajime Nakamura",548
"J. Rogers",548
"K. Kuroda",548
"Kenneth B. Storey",548
"Majid M. Heravi",548
"Mark Lautens",548
"Maurie Markman",548
"R. Thompson",548
"Robert M. Goldwyn",548
"T. SUZUKI",548
"Wolfram Saenger",548
"A. Ito",547
"F. Cavallari",547
"François Diederich",547
"Jagat Narula",547
"Karl O. Christe",547
"Peter Newmark",547
"S. Nowak",547
"Stephen S. Hecht",547
"Y. Ban",547
"Ying Luo",547
"Cong Zhang",546
"Diane Gershon",546
"J. Xie",546
"Jun Xia",546
"K. Weber",546
"Qunji Xue",546
"R. Vijayaraghavan",546
"Tao Song",546
"Toshio Takahashi",546
"Zhen Zhou",546
"A. Otto",545
"Biao Huang",545
"Gerhard Wagner",545
"Hideki Sakai",545
"Hiroaki Tanaka",545
"J. Jackson",545
"K. Kawai",545
"K. Yoshihara",545
"Kazuo Yamamoto",545
"M. C. Lin",545
"M. Davis",545
"M. Edwards",545
"P. Gupta",545
"R. Mittra",545
"R. Winkler",545
"S. Bandyopadhyay",545
"S. Y. Lee",545
"Tom Ziegler",545
"Y. Unno",545
"Arnold Munnich",544
"Bin Du",544
"D.P. Woodruff",544
"David H. Coy",544
"Günther Jung",544
"H. Ahmed",544
"J. Rose",544
"Jie Dong",544
"K. Kinoshita",544
"Li Tang",544
"P. Giusti",544
"R. Lang",544
"T Tanaka",544
"W. Klein",544
"Y. Iwasaki",544
"Ying Liang",544
"Bruce H. Lipshutz",543
"C.Y. Wang",543
"Derek Marsh",543
"J. Gray",543
"K. Fuxe",543
"Ki-Hyun Kim",543
"Larry E. Overman",543
"M. Bourquin",543
"P. McBride",543
"P. Schneider",543
"S.C. Tonwar",543
"Tong Wu",543
"C. Fernandez",542
"C. Raine",542
"E. Lançon",542
"G. Lee",542
"H. Evans",542
"Heping Zhang",542
"Koichi Mikami",542
"Li Fan",542
"Masashi Tashiro",542
"R. Billinton",542
"R. Edwards",542
"Richard Kuhn",542
"Seymour Levine",542
"W. Lorenz",542
"Xiaojun Liu",542
"Xuemei Wang",542
"Yaping Wang",542
"A. Solano",541
"A. Straessner",541
"F. Borek",541
"Hao Yan",541
"I. Iashvili",541
"J. Zhong",541
"M. Hong",541
"M. Peters",541
"R. Castello",541
"T. Adams",541
"T. Akiyama",541
"Y. Cohen",541
"Yasuni Nakanuma",541
"A. De Roeck",540
"A. Robson",540
"C. Young",540
"G. Yekutieli",540
"H. Dijkstra",540
"H. Sano",540
"Horst Prinzbach",540
"Hui Dong",540
"J. Price",540
"K. Binder",540
"K. Friedrich",540
"Kiyoshi Kurokawa",540
"Liying Zhang",540
"Lu Yu",540
"M. Sano",540
"Michael W. Weiner",540
"Robert H. Carlson",540
"T. Mizuno",540
"Yang Jiang",540
"Atsushi Nakajima",539
"Bo Yuan",539
"Claudio Bianchini",539
"E. Tassi",539
"H. Albrecht",539
"H. Anderhub",539
"H. Kaneko",539
"Lewis H. Kuller",539
"Lixin Zhang",539
"M Takahashi",539
"Peter Davies",539
"Sen Wang",539
"T. Ma",539
"Xu Zhou",539
"Y Nakamura",539
"A. Katz",538
"A. Rahman",538
"A. Werner",538
"Dan J. Stein",538
"G. Wegner",538
"George Klein",538
"H. Dietl",538
"J. Richter",538
"JAMES KRIEGER",538
"Jin Jang",538
"Kanefusa Kato",538
"Michael Bauer",538
"Min He",538
"R. Sauer",538
"S. Hall",538
"S.K. Das",538
"Seung-Woon Rha",538
"W. Vogel",538
"X. Jin",538
"Z. Szillasi",538
"A. Buijs",537
"Fei Sun",537
"J. E. Mark",537
"Jianping Wu",537
"Liqun Zhang",537
"Min Lin",537
"N. Kato",537
"P.G. Rancoita",537
"Peng Guo",537
"Peng He",537
"R. Paramatti",537
"R. Yang",537
"Steven P. Nolan",537
"T Sato",537
"T. Nagata",537
"T. Reichstein",537
"Thomas B. Rauchfuss",537
"A. Martínez",536
"Barry B. Snider",536
"Dong Joo Oh",536
"Guodong Liu",536
"H. Winter",536
"J. Kanzaki",536
"J. Sanz",536
"J. Tóth",536
"Kazuyoshi Tanaka",536
"Liang Tang",536
"Peter C. Ford",536
"Peter Müller",536
"R. Battiston",536
"S. Tsuji",536
"T. H. J. Huisman",536
"T. Yoshikawa",536
"Yasuhiro Iwasawa",536
"Yong Ding",536
"A. Anderson",535
"A. Ray",535
"C. R. Abernathy",535
"Ekkehard Lindner",535
"Feng Xie",535
"Gaddis Smith",535
"Hang Zhang",535
"J. Hauser",535
"J. Hughes",535
"J. Trotter",535
"K. Hatakeyama",535
"K. Nagano",535
"Koichi Hatada",535
"M. Park",535
"M. Thompson",535
"Toshio Ogihara",535
"Wei Qi",535
"Y Tanaka",535
"Zhen Wu",535
"Bing Hu",534
"D.V. Nanopoulos",534
"David Moore",534
"F. Gordon A. Stone",534
"J. Tao",534
"Kazuhiko Ishihara",534
"Kun Chen",534
"Peter J. Sadler",534
"S. Kang",534
"T. Araki",534
"Y. ITO",534
"Yuji Matsuzawa",534
"A. Geiser",533
"C. Schwick",533
"I. Bloch",533
"J. Mans",533
"Jian Tang",533
"M. Roy",533
"Paul Thompson",533
"Purnendu K. Dasgupta",533
"S. Nagata",533
"T. Kawasaki",533
"Y. Murata",533
"A. Muñoz",532
"A. Sarkar",532
"Andrew Streitwieser",532
"D. DICKSON",532
"D. Menzel",532
"Dinshaw J. Patel",532
"Guido Kroemer",532
"J. Mayer",532
"J. Plank",532
"Jian Zheng",532
"Kazuhiko Yamamoto",532
"P. Branchini",532
"P. Nilsson",532
"R. Harris",532
"R. Madar",532
"S. Ramakrishnan",532
"T. KAMETANI",532
"T. Ohnishi",532
"Xin Lin",532
"Yan Xiao",532
"A. Hasegawa",531
"Bing Zhou",531
"F. Ruggieri",531
"Haiyan Liu",531
"Harry Adams",531
"J. Tuominiemi",531
"Jianjun Chen",531
"L. Di Ciaccio",531
"Norihiro Tokitoh",531
"P. Raics",531
"Philip K. Hopke",531
"Qin Chen",531
"Tao Ma",531
"V. Jain",531
"Yu Xu",531
"A. I. Meyers",530
"Akira Hara",530
"David E. Smith",530
"Gary A. Molander",530
"J.C. Thompson",530
"Juan Xu",530
"Lei Xie",530
"M. Beck",530
"M. Hahn",530
"M. He",530
"S. Bansal",530
"S. Cittolin",530
"S. Orito",530
"V. Bhatnagar",530
"Werner Massa",530
"Y. Shimada",530
"Zhiyong Liu",530
"Bert Fraser-Reid",529
"C. D. Marsden",529
"E. Fischer",529
"H. Schopper",529
"Hiroshi Shibasaki",529
"J. Winter",529
"K. MORI",529
"Leroy B. Townsend",529
"Matthew J. Budoff",529
"Peter W. Carr",529
"T. Noda",529
"T. Sugiyama",529
"W. Hu",529
"A. Balogh",528
"A. W. Castleman",528
"B. Heinemann",528
"Bin Ma",528
"C. Wright",528
"C.F. Johnston",528
"E. Wolf",528
"H. Deng",528
"J. A. Miller",528
"Jun Shi",528
"K. A. Jellinger",528
"Leena Peltonen",528
"Masoud Salavati-Niasari",528
"R. Bhat",528
"Ronald Breslow",528
"T. Baba",528
"T. Yao",528
"Y. Homma",528
"A. Huber",527
"A. Malinin",527
"A. Quadt",527
"Bernd Giese",527
"Christian Müller",527
"D. Yu",527
"David A. Johnson",527
"Feng Xue",527
"Hitoshi Okamura",527
"Jin Wu",527
"Masahiro Yamaguchi",527
"Ming Wu",527
"Muhammad Ashraf",527
"S. Solomon",527
"Shigeru Oae",527
"Xiao Liang",527
"Xiaolei Wang",527
"Y. Masuda",527
"Y. Rozen",527
"Ad Bax",526
"Alfred Maelicke",526
"Bin Shen",526
"Cheng Xu",526
"Claudio Luchinat",526
"F. Romano",526
"K. Asami",526
"Ken-ichi Okamoto",526
"L. Rinaldi",526
"M. Conti",526
"Michael Schmidt",526
"P. Perret",526
"Pan Li",526
"Suresh Kumar",526
"Ting Zhou",526
"V. Gibson",526
"William Fenical",526
"Xiaoming Feng",526
"Yasuyuki Kita",526
"F. Raupach",525
"G. E. Zaikov",525
"H. SUZUKI",525
"J.A. Wilson",525
"M. Cooke",525
"P. Siffert",525
"Quan Yuan",525
"R. Hull",525
"Stefan Zeuzem",525
"T. Paul",525
"Xuesi Chen",525
"A. Garcia-Bellido",524
"D. Teyssier",524
"Fei Guo",524
"G. Barbiellini",524
"J. Milosevic",524
"Jing Su",524
"M. Colombo",524
"M. George",524
"Ronald A. Hites",524
"S. Itoh",524
"S. Nakajima",524
"Tony L. Yaksh",524
"U.A.Th. Brinkman",524
"V. Srinivasan",524
"W. Zheng",524
"C. Robinson",523
"C.C. Wang",523
"ELIZABETH WILSON",523
"Friedrich C. Luft",523
"Graham J. Hutchings",523
"J. Carr",523
"Joseph B. Lambert",523
"Kenji Itoh",523
"L. Jaenicke",523
"M. Henini",523
"M. Schioppa",523
"M. Schäfer",523
"Martin Müller",523
"P. Siegrist",523
"Ran Zhang",523
"S. Miyamoto",523
"T. Kuroda",523
"W. J. Ridgman",523
"Yong Lu",523
"Yongjun Wang",523
"Axel Haverich",522
"Chuan He",522
"D. Axen",522
"David G. Whitten",522
"David H. Barlow",522
"G. Leising",522
"George Manstein",522
"H. Tsuji",522
"Jun Qian",522
"Keiichiro Fukumoto",522
"M. Jaroniec",522
"Michael Böhm",522
"N. Schmitz",522
"P. G. Jones",522
"Padma K. Shukla",522
"Paul C. Bucy",522
"Pawan Kumar",522
"S. Endo",522
"T. Hori",522
"T. Komatsu",522
"Tasawar Hayat",522
"Xiaojun Zhang",522
"Xue Bai",522
"Yoshio Suzuki",522
"A. Bean",521
"C. Ma",521
"Chen Lin",521
"Dawei Li",521
"G. Ghibaudo",521
"H. Nakanishi",521
"Hiroshi Mori",521
"J. Bousquet",521
"J. C. Wright",521
"M. Karlsson",521
"Philip Morrison",521
"S. Yokoyama",521
"F. Meier",520
"G. Barbagli",520
"H. Kondo",520
"J. Harrison",520
"J. Hong",520
"Kh. M. Minachev",520
"L. Jönsson",520
"Lu Han",520
"M. Harada",520
"Marios Loukas",520
"Miao Liu",520
"P. Cacoub",520
"Peter Willett",520
"Rainer Pöttgen",520
"S. Schmitt",520
"Satoshi Watanabe",520
"Stephan Windecker",520
"Takashi Itoh",520
"V. I. Minkin",520
"Xiaofeng Liu",520
"Xun Xu",520
"Zhaohui Li",520
"A. Amorim",519
"Alexandra Navrotsky",519
"C. Matteuzzi",519
"Gareth Jones",519
"Hiroshi Sakai",519
"K. Hoshino",519
"Lixin Wang",519
"Michael B. Hall",519
"Michael R. Boyd",519
"Pei Li",519
"Sung Soo Kim",519
"Ting Wu",519
"Y. Nakayama",519
"Abraham Clearfield",518
"Bei Wang",518
"Dong Wook Kim",518
"Hui Ding",518
"Hui Tian",518
"K.D. Buchanan",518
"M. Hirata",518
"M.G. Alviggi",518
"Nan Zhao",518
"Qian Huang",518
"R. Kaiser",518
"Ran Wang",518
"Yue Yu",518
"Alfons Baiker",517
"Bernard Dixon",517
"G. Saito",517
"H. Newman",517
"H. Suter",517
"Jacek Klinowski",517
"Jing Cheng",517
"Ming Ma",517
"Ming Zhu",517
"Nelson J. Leonard",517
"R. Lipton",517
"S. Walker",517
"Steven A. Kaplan",517
"Toni Feder",517
"Yi Cheng",517
"A. Guy Orpen",516
"George Hangay",516
"Hideki Mori",516
"M Suzuki",516
"N. Miura",516
"Paul F. White",516
"R. A. Good",516
"R.H. Friend",516
"Thomas P. Davis",516
"Walter Greiner",516
"Yasuyoshi Watanabe",516
"D. John Faulkner",515
"D. Ren",515
"D. Su",515
"Dietmar Fuchs",515
"Edward B. Blanchard",515
"F. Hartmann",515
"Frank Rominger",515
"G. Conti",515
"H Sato",515
"Jie Yuan",515
"John C. Marshall",515
"K. Wandelt",515
"M. Scholz",515
"M. Titov",515
"Masahiro Miura",515
"Michael R. Harrison",515
"Na Zhao",515
"Pierre Chambon",515
"R. Sacchi",515
"Weidong Wang",515
"A. Bauer",514
"A. Contin",514
"A. Hamilton",514
"A. Rizzi",514
"Chuan Li",514
"G. Nowak",514
"Hao Shen",514
"Hiroyoshi Hidaka",514
"Hong Yao",514
"Hong Yin",514
"John T. Yates",514
"Kirsten Gaede",514
"M Tanaka",514
"P. Bhattacharya",514
"Pei Liu",514
"Richard Shine",514
"S. KOBAYASHI",514
"Yoichiro Ito",514
"Yoshiyuki Kawazoe",514
"A. Engler",513
"C. Dallapiccola",513
"G. Mannocchi",513
"G. Zhao",513
"H. Breuker",513
"H. Kurz",513
"Heng Liu",513
"J. Ellis",513
"J.D. Swain",513
"John A. Montgomery",513
"John Burgess",513
"Jun Ding",513
"K. Wada",513
"Lin Gu",513
"M. Davenport",513
"M. Nagao",513
"M. Voutilainen",513
"S. Hou",513
"Sw. Banerjee",513
"Xiao Yu",513
"Y. Tamura",513
"Yu Tang",513
"Yutaka Suzuki",513
"A. Maignan",512
"C. Collard",512
"D. Schmitt",512
"Donald L. Thompson",512
"H. Hara",512
"Hans Lehrach",512
"J. Patel",512
"Jinlong Zhang",512
"Li Jia",512
"M. Castro",512
"Michael G. B. Drew",512
"N. Ganesan",512
"S. Guo",512
"Shigeru Kohno",512
"Trevor W. Hambley",512
"V. Andreev",512
"Yong Peng",512
"A. Hasan",511
"Allen F. Morey",511
"Charles L. Wilkins",511
"Eyal Sheiner",511
"F. Wagner",511
"G. Hill",511
"Hai Jin",511
"Hideo Yagita",511
"Hongyan Zhang",511
"J. Wolf",511
"Long Yu",511
"Naomichi Furukawa",511
"S. Nakagawa",511
"Wei Tan",511
"Xiaoying Wang",511
"Y.-J. Lee",511
"Z Wang",511
"A. Arefiev",510
"A. Douglas Kinghorn",510
"Colin L. Raston",510
"E. Barberis",510
"E. Weber",510
"F. Steglich",510
"F. Verbeure",510
"G. Darbo",510
"H. Uchida",510
"Han Chen",510
"Herbert Meier",510
"J. Navarro",510
"J. Ross",510
"Jerome A. Berson",510
"K. Harder",510
"Lingling Zhang",510
"M. Hohlmann",510
"P. Puri",510
"Peter G. Schultz",510
"Ruo Yuan",510
"T. Buran",510
"T. MUKAIYAMA",510
"Takayuki Shioiri",510
"Yukio Nishimura",510
"Yutaka Saito",510
"A. Askew",509
"A. Fontana",509
"A. Negri",509
"A. Richards",509
"A.K. Sharma",509
"Bernard J. Gersh",509
"C. Sun",509
"C. Thomsen",509
"D. Young",509
"Donald T. Sawyer",509
"F. Foster",509
"G. Herrmann",509
"Herbert Mayr",509
"Hideki Tanaka",509
"J. Garvey",509
"J. Jensen",509
"K. Nakano",509
"Ling Zhu",509
"Noel D. Uri",509
"R. Leiste",509
"Susumu Nishimura",509
"C.S. Letizia",508
"Gary B. Schuster",508
"Giovanni Gasbarrini",508
"H Zhang",508
"Hiroaki Shimokawa",508
"J. Eberhart",508
"JANICE R. LONG",508
"James D. Thomas",508
"Jeffrey I. Zink",508
"John R. Shapley",508
"K Nakamura",508
"K Yamamoto",508
"K. Schneider",508
"K.M. Liew",508
"Kunihiro Ichimura",508
"M. Murphy",508
"Minoru Isobe",508
"Olivier Kahn",508
"P. Jackson",508
"R. Rossi",508
"Ran Tao",508
"Tong Zhu",508
"Y. Asano",508
"Ying Peng",508
"A. Bernard",507
"A. Gasbarrini",507
"A.C. Gossard",507
"Akira Yamaguchi",507
"F. Palmonari",507
"Gerhard Wegner",507
"H. Lange",507
"Hideaki Tanaka",507
"Lu Sun",507
"M. Kinoshita",507
"P. Somasundaran",507
"Peter Mitchell",507
"Shigeki Matsunaga",507
"Tsutomu Katsuki",507
"William L. Jorgensen",507
"William W. Parmley",507
"Yasushi Saito",507
"Ahmed Alsaedi",506
"Bertram Pitt",506
"C. Becker",506
"Hong Cheng",506
"J.Q. Del Rosso",506
"Khabir Ahmad",506
"Kunio Esumi",506
"P. Robmann",506
"Patrick J. Carroll",506
"Richard A. Jones",506
"Stefan Schreiber",506
"Yanyan Li",506
"Yi Xiao",506
"BRUCE F. GREEK",505
"Bernhard Nuber",505
"F. Sundler",505
"J. Salicio",505
"J.I. Ramos",505
"Janos H. Fendler",505
"K. Takada",505
"Min Zheng",505
"Ming Luo",505
"Ming Yu",505
"Naoyuki Taniguchi",505
"P G Burke",505
"S.K. Ghosh",505
"T. Yang",505
"W. Braun",505
"Wei Xing",505
"Yu Cheng",505
"Yuqing Zhang",505
"A. Tricomi",504
"Alison Knopf",504
"David J. Weber",504
"Edwin C. Constable",504
"H. Aoki",504
"Hiroyuki Shimizu",504
"J. Ferrando",504
"J. Katz",504
"Li Fu",504
"R. Lopez-Fernandez",504
"Shinji Murai",504
"Tao Xie",504
"V. Schumpelick",504
"Xia Yang",504
"Yan Peng",504
"Yu Fu",504
"A. Morales",503
"B. Abbott",503
"Gunzi Saito",503
"H. Morita",503
"Isao Morishima",503
"J. Albert",503
"Jinhua Li",503
"Jiro Tsuji",503
"Kazuo Murakami",503
"Min Tang",503
"O. Brandt",503
"P. Banerjee",503
"S. Zimmermann",503
"S.P. Singh",503
"T. Yano",503
"Tao Jin",503
"Yongsheng Chen",503
"Yun Huang",503
"B. Jost",502
"D. Cameron",502
"Dimitris Tousoulis",502
"E. Paul",502
"Hongmei Zhang",502
"Ikuya Nonaka",502
"Joel M. Bowman",502
"K. Nakao",502
"Lu Xu",502
"M. Holder",502
"M. TANAKA",502
"M. Velasco",502
"Manfred T. Reetz",502
"Minoru Yoshida",502
"Nicholas G. Martin",502
"P. Day",502
"R. Scott",502
"U. Fischer",502
"Xiaowei Wang",502
"B.J. Gersh",501
"E. Hachulla",501
"Filippo Crea",501
"Hai Li",501
"Horia Metiu",501
"J. Ellison",501
"Jacqueline K. Barton",501
"Jie Xiao",501
"Jun Ye",501
"K. Giese",501
"M. Arai",501
"M. Steuer",501
"Min Guo",501
"Ming Sun",501
"P. Buchholz",501
"Robert H. Young",501
"S. Kojima",501
"S. Snyder",501
"Tadashi Yamamoto",501
"Vivien Choo",501
"Wei Qian",501
"Yoshihiro Sato",501
"A. Polini",500
"Florian Holsboer",500
"G. Chiodini",500
"H. Fuess",500
"Haitao Liu",500
"Irving R. Epstein",500
"Ji Young Kim",500
"John McLeod",500
"K. Bloom",500
"M. Owen",500
"M. Zanetti",500
"O. Smirnova",500
"Robert F. Spetzler",500
Sperling,500
"U. Schäfer",500
"W. Robert Scheidt",500
"Weimin Wang",500
"William A. Denny",500
"Y. Kawamura",500
"Y. Sugimoto",500
"Z.M. Wang",500
"Zhenyu Liu",500
"A. Sánchez",499
"A.A. Vorobyov",499
"Bin Han",499
"Chong Liu",499
"D. Lissauer",499
"David Y. Graham",499
"George W. Gokel",499
"Gregory L. Geoffroy",499
"H. C. BROWN",499
"H. Lüth",499
"J. L. Beauchamp",499
"K. A. Gschneidner",499
"Norman L. Allinger",499
"Qiang Lu",499
"S. Fujii",499
"S. Haider",499
"S. Krishnan",499
"S.K. Singh",499
"Sid Perkins",499
"T. Asano",499
"Takeshi Matsumoto",499
"William A. Pryor",499
"X. Meng",499
"Xue Chen",499
"Z. Guo",499
"Carsten Bolm",498
"Cary L. Cooper",498
"Che-Ming Teng",498
"D. Fink",498
"Dong Hyun Kim",498
"Duu-Jong Lee",498
"Feng Xiao",498
"G. Jung",498
"H. Imai",498
"J. Alcaraz",498
"Jaakko Kaprio",498
"John H. Seinfeld",498
"K. A. Fackelmann",498
"Kenneth S. Kendler",498
"Li Cheng",498
"Nicola Maffulli",498
"R. Herrmann",498
"Richard Monastersky",498
"S. Roberts",498
"Sau Lan Wu",498
"V. Monaco",498
"A. Schulz",497
"Chao He",497
"D. Cutts",497
"Haibo Li",497
"Hongbo Zhang",497
"J. Verhoef",497
"K. Kudo",497
"Li Han",497
"Liang Shen",497
"M. Zhu",497
"Mary McPartlin",497
"Reinhard Schmutzler",497
"Steven L. Suib",497
"T. Martin",497
"Y. Chao",497
"Y. Gu",497
"Andrew C. Novick",496
"B. Fischer",496
"Dong-Wook Kim",496
"George A. Kraus",496
"H. S. Lee",496
"He Liu",496
"Hoyoku Nishino",496
"M. Baba",496
"O. Adriani",496
"Piet Herdewijn",496
"Sha Li",496
"Springer Medizin",496
"T. Azemoon",496
"Takayoshi Kobayashi",496
"Y. Nagata",496
"Yang Shi",496
"Yanping Wang",496
"D. Muller",495
"E. W. Meijer",495
"F. Ferri",495
"Feng Qian",495
"Guanrong Chen",495
"Hiroshi Taniguchi",495
"Joel S. Miller",495
"John Taylor",495
"K. Borras",495
"K. Kawamura",495
"K. Petridis",495
"Kiyoshi Matsumoto",495
"Kizashi Yamaguchi",495
"M. Ernst",495
"M. Yoshikawa",495
"Maxine Sun",495
"Ning Wu",495
"O. Meyer",495
"Otto S. Wolfbeis",495
"Peter D. Moore",495
"Qing Chang",495
"S. Arai",495
"S.-H. Kim",495
"Stephen F. Nelsen",495
"V. G. Granik",495
"V. Pojidaev",495
"Will Earhart",495
"William E. Streib",495
"Y. Chang",495
"Zhen Xu",495
"Alan McGregor",494
"B. Thomas",494
"C. Escobar",494
"D. Lanske",494
"E. Shabalina",494
"Fei Zhou",494
"Hiroshi Satoh",494
"J. Kenneth Chong",494
"J.R. Carter",494
"Kin-Lu Wong",494
"M. Moreno",494
"Martin Gardner",494
"Mehdi Dehghan",494
"Ping Zheng",494
"R. Langer",494
"Robert W. Lenz",494
"Zhiyong Li",494
"F. Petrucci",493
"Fen Wang",493
"H. Jin",493
"H. Okamura",493
"Hu Zhang",493
"J. Glowinski",493
"J. Stiewe",493
"K. Hess",493
"Kurt Polborn",493
"L. Poggioli",493
"M. Chiba",493
"M. Vivargent",493
"R. Romero",493
"T. Nishikawa",493
"William H. Frishman",493
"A. C.",492
"Andrew R. Barron",492
"Andrew Steptoe",492
"C. Roberts",492
"Chao Jiang",492
"Charles B. Higgins",492
"D. Decamp",492
"Hua Yu",492
"J. Berdugo",492
"S. Ganguly",492
"S. Oda",492
"T. Kitagawa",492
"Zhenyu Zhang",492
"A. Khanov",491
"B. Bylsma",491
"D.J. Miller",491
"E. Koffeman",491
"Hongmei Li",491
"I. J. Good",491
"J. Deng",491
"J. Engel",491
"K. Ozawa",491
"N. Zhou",491
"Qiang Zhu",491
"R. Demina",491
"S. Bentvelsen",491
"S. Kokubun",491
"Shan Liu",491
"Tasuku Honjo",491
"Thomas C.W. Mak",491
"Y. Ishida",491
"A. Shimizu",490
"A.M. Rossi",490
"David M. Smith",490
"H. Przysiezniak",490
"Heinz Heimgartner",490
"Hu Wang",490
"J. Mueller",490
"J.A. Rubio",490
"J.L.G. Fierro",490
"Jorge Cortes",490
"K. Klein",490
"Kazunori Kataoka",490
"Klaus Weber",490
"Peter Weiss",490
"R. M. Brown",490
"Takao Suzuki",490
"U. Heintz",490
"Wenjun Wang",490
"Yu Lei",490
"Z. Rosenwaks",490
"A. Kupco",489
"A. Mastroberardino",489
"Chang Gyu Park",489
"Charles Spence",489
"D. Tsybychev",489
"Enrico Gratton",489
"Frank Porreca",489
"H. Brunner",489
"Jian Shi",489
"K. Hattori",489
"K. Piotrzkowski",489
"Kunio Doi",489
"Li Cui",489
"M. Khakzad",489
"M. Wayne",489
"N. Varelas",489
"P. Tan",489
"Peter Schmidt",489
"Qing Jiang",489
"R. Bartoldus",489
"Shinsuke Tanabe",489
"T. Nishida",489
"W. Haase",489
"Yoshio Watanabe",489
"Yu Fang",489
"Zhiguo Liu",489
"Biao Zhang",488
"Chad A. Mirkin",488
"Dennis W. Dickson",488
"E. Valente",488
"Edward C. Taylor",488
"F. Rizatdinova",488
"H. Ringsdorf",488
"Harald Merckelbach",488
"I. Brock",488
"I. Fisk",488
"J. Clark",488
"Jong-Ho Lee",488
"K. Matsuda",488
"Kazuhiro Kobayashi",488
"Koji Yamamoto",488
"M. Corradi",488
"M. Sugawara",488
"Mitsuo Ishikawa",488
"N. Tamura",488
"N. Yamada",488
"T. Masuda",488
"T. Miki",488
"Xinyu Wang",488
"A. Mann",487
"Alberto Zanchetti",487
"C. Henderson",487
"Chao Yu",487
"Cheol Ung Choi",487
"Dorret I. Boomsma",487
"Dudley H. Williams",487
"E. Calvo",487
"G. Marchiori",487
"J. Shaw",487
"J. Takahashi",487
"J. Varela",487
"Masato Fujisawa",487
"Orhan Büyükgüngör",487
"Osamu Tanaka",487
"P. Baringer",487
"P. Hansen",487
"Ping Guo",487
"R. Mitchell",487
"R. Ruchti",487
"Rui Gao",487
"Russell N. Grimes",487
"T. Ishihara",487
"V. Gavrilov",487
"W. Kiefer",487
"William A. Wells",487
"Xiaoming Chen",487
"Y. Honda",487
"Z. Ren",487
"A. Colaleo",486
"A. V. Fokin",486
"David Anderson",486
"Eung Ju Kim",486
"F. Bianchi",486
"H. Amano",486
"H. Krüger",486
"Harold Robinson",486
"I. Nakano",486
"Kevin C. Jones",486
"Kurt Hostettmann",486
"M. Narain",486
"M. Satoh",486
"Manfred Hesse",486
"P. Denes",486
"Q. Ouyang",486
"S. Tamura",486
"T.J.C",486
"Tao Lu",486
"Xin Du",486
"Xu Xu",486
"Yoichi Iitaka",486
"A. Nayak",485
"Andrew Williams",485
"B. King",485
"Dandan Wang",485
"David Phillips",485
"E. Richter",485
"G. Borissov",485
"H. Abramowicz",485
"Ling Wu",485
"M. Chemarin",485
"M. Matsuoka",485
"M. Willander",485
"Mark Elert",485
"Michael D. Furnish",485
"Michael R. Wasielewski",485
"Peng Xiao",485
"Roy Szweda",485
"Schübel",485
"Seiichiro Ogawa",485
"T. Don Tilley",485
"T. Sugimura",485
"Tooru Shimosegawa",485
"V. Matveev",485
"Y. Gershtein",485
"A. Biland",484
"A. Vinogradov",484
"Bettina L. Knapp",484
"David William Foster",484
"E. Ritz",484
"George R. Newkome",484
"H. Severini",484
"H.K. Liu",484
"Horst Kunz",484
"J. A. Wilson",484
"J. Carvalho",484
"Jack Simons",484
"Jian Luo",484
"Joachim Thiem",484
"Joseph Jankovic",484
"Kazuo Suzuki",484
"Kiitiro Utimoto",484
"L. Chang",484
"L. Johnson",484
"L. O. Atovmyan",484
"L. Yan",484
"Li Cao",484
"Lijuan Chen",484
"Liping Li",484
"M. Biglietti",484
"Manfred Schlosser",484
"N. Parashar",484
"N. Takeda",484
"P. Delpierre",484
"P. Silva",484
"Qi Guo",484
"R. Hirosky",484
"Ravi P. Agarwal",484
"S. Burdin",484
"S. Ohno",484
"Stuart L. Schreiber",484
"T. Wu",484
"Anthony H. Alter",483
"C. Ferrari",483
"C. Rossi",483
"D. Perret-Gallix",483
"Hideo Baba",483
"Hiroshi Murakami",483
"Ian P. Rothwell",483
"Itzhak Brook",483
"J. Phillips",483
"J. Suzuki",483
"John M. Brown",483
"Jun Tao",483
"K. Rybicki",483
"M. Bianco",483
"M. Razeghi",483
"M. Vázquez",483
"R Williams",483
"Robert E. Anderson",483
"Satoshi Fujii",483
"Sidney W. Benson",483
"Tian Wang",483
"Xiang Yu",483
"C. Lourenço",482
"D. H. R. BARTON",482
"Douglas A. Canning",482
"H. Bergner",482
"Hai Zhang",482
"Hailong Li",482
"Hui Tang",482
"L. Miller",482
"M. Kelly",482
"M. Kojima",482
"Nicholas J. Taylor",482
"Noboru Yanaihara",482
"P. Greengard",482
"P. Gutierrez",482
